Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
sg81493,arizona,m,bachelor,444373.62%,1970-01-01 00:00:00.000046384,1970-01-01 00:00:00.000000113,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000251,california,f
zx23819,oregon,f,high school or below,798408.65%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000866,california,f
fj54907,oregon,f,college,718097.10%,1970-01-01 00:00:00.000042303,1970-01-01 00:00:00.000000170,1/0/00,personal auto,luxury suv,1970-01-01 00:00:00.000000966,california,f
cu26127,california,f,bachelor,1565603.43%,1970-01-01 00:00:00.000071731,1970-01-01 00:00:00.000000130,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000599,california,f
yh60476,oregon,m,high school or below,578018.22%,1970-01-01 00:00:00.000051066,1970-01-01 00:00:00.000000074,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000787,california,f
zz97035,california,m,college,2071494.04%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000170,1/0/00,corporate auto,luxury car,1970-01-01 00:00:00.000000966,california,f
ge82737,nevada,f,bachelor,533735.24%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000086,1/3/00,personal auto,four-door car,1970-01-01 00:00:00.000000619,california,f
ky21873,arizona,m,college,505082.62%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000069,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000072,california,f
ua51318,arizona,f,high school or below,511662.40%,1970-01-01 00:00:00.000026173,1970-01-01 00:00:00.000000068,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000449,california,f
bv55014,oregon,m,bachelor,726873.70%,1970-01-01 00:00:00.000024445,1970-01-01 00:00:00.000000063,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000302,california,f
hx21307,oregon,male,college,261661.39%,1970-01-01 00:00:00.000072302,1970-01-01 00:00:00.000000066,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000316,california,f
lq68252,oregon,male,high school or below,373843.62%,1970-01-01 00:00:00.000027208,1970-01-01 00:00:00.000000102,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000489,california,f
cr92802,california,f,master,272535.64%,1970-01-01 00:00:00.000036650,1970-01-01 00:00:00.000000069,1/1/00,special auto,four-door car,1970-01-01 00:00:00.000000056,california,f
sl35268,arizona,male,college,545386.12%,1970-01-01 00:00:00.000030855,1970-01-01 00:00:00.000000068,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000259,california,f
rd62882,arizona,f,bachelor,684615.03%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000095,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000456,california,f
js42382,oregon,male,master,617291.42%,1970-01-01 00:00:00.000099960,1970-01-01 00:00:00.000000076,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000364,california,f
bt30554,arizona,f,bachelor,1034632.45%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000098,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000470,california,f
vp57424,nevada,f,bachelor,699700.86%,1970-01-01 00:00:00.000055873,1970-01-01 00:00:00.000000088,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000299,california,f
vu19243,arizona,f,high school or below,419625.77%,1970-01-01 00:00:00.000018052,1970-01-01 00:00:00.000000111,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000699,california,f
ta82973,oregon,f,high school or below,785810.98%,1970-01-01 00:00:00.000028937,1970-01-01 00:00:00.000000104,1/2/00,personal auto,suv,1970-01-01 00:00:00.000000117,california,f
gk71720,oregon,f,high school or below,606434.40%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000086,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000545,california,f
oq61223,california,male,college,1749752.20%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000350,california,f
ll62746,oregon,male,doctor,897064.73%,1970-01-01 00:00:00.000012829,1970-01-01 00:00:00.000000118,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000328,california,f
jq56711,oregon,f,master,592311.72%,1970-01-01 00:00:00.000092163,1970-01-01 00:00:00.000000073,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000066,california,f
aw77988,oregon,male,high school or below,3585059.94%,1970-01-01 00:00:00.000017588,1970-01-01 00:00:00.000000170,1/0/00,personal auto,luxury car,1970-01-01 00:00:00.000000966,california,f
qp84605,washington,f,bachelor,870984.53%,1970-01-01 00:00:00.000041546,1970-01-01 00:00:00.000000111,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000121,california,f
my97912,arizona,male,college,1330933.52%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000127,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000609,california,f
ib87349,california,m,high school or below,452850.49%,1970-01-01 00:00:00.000070340,1970-01-01 00:00:00.000000113,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000542,california,f
aw73065,oregon,f,high school or below,279190.65%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000074,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000532,california,f
bw80872,washington,m,high school or below,443441.12%,1970-01-01 00:00:00.000034549,1970-01-01 00:00:00.000000111,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000125,california,f
px70175,arizona,m,college,799600.75%,1970-01-01 00:00:00.000093459,1970-01-01 00:00:00.000000099,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000655,california,f
kf75098,arizona,m,bachelor,512973.90%,1970-01-01 00:00:00.000086148,1970-01-01 00:00:00.000000065,1/2/00,personal auto,four-door car,1970-01-01 00:00:00.000000312,california,f
is50283,california,f,bachelor,569717.52%,1970-01-01 00:00:00.000027048,1970-01-01 00:00:00.000000072,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000345,california,f
my64920,oregon,f,college,921713.06%,1970-01-01 00:00:00.000073259,1970-01-01 00:00:00.000000115,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000673,california,f
kn34250,oregon,f,college,1020892.76%,1970-01-01 00:00:00.000035482,1970-01-01 00:00:00.000000129,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000619,california,f
gn46207,oregon,f,master,417068.73%,1970-01-01 00:00:00.000029462,1970-01-01 00:00:00.000000107,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000513,california,f
kl57176,oregon,f,college,450540.58%,1970-01-01 00:00:00.000067801,1970-01-01 00:00:00.000000115,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000023,california,f
mn94234,california,m,high school or below,310756.86%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000094,1/4/00,personal auto,two-door car,1970-01-01 00:00:00.000000451,california,f
jy90595,arizona,m,high school or below,552866.50%,1970-01-01 00:00:00.000016042,1970-01-01 00:00:00.000000073,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000350,california,f
hk26543,california,m,high school or below,504586.67%,1970-01-01 00:00:00.000028056,1970-01-01 00:00:00.000000064,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000307,california,f
pn86062,california,m,high school or below,296272.25%,1970-01-01 00:00:00.000016495,1970-01-01 00:00:00.000000085,1/3/00,corporate auto,four-door car,1970-01-01 00:00:00.000000408,california,f
vw27730,california,f,master,866595.64%,1970-01-01 00:00:00.000041163,1970-01-01 00:00:00.000000108,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000231,california,f
sh55671,arizona,f,college,1141344.12%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000161,1/1/00,personal auto,sports car,1970-01-01 00:00:00.000000772,california,f
mo56878,california,m,bachelor,1548843.20%,1970-01-01 00:00:00.000033799,1970-01-01 00:00:00.000000109,1/3/00,corporate auto,suv,1970-01-01 00:00:00.000000664,california,f
vo38365,washington,f,college,886114.95%,1970-01-01 00:00:00.000090125,1970-01-01 00:00:00.000000110,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000128,california,f
sv35618,oregon,f,bachelor,593474.15%,1970-01-01 00:00:00.000087747,1970-01-01 00:00:00.000000147,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000046,california,f
rx12347,nevada,m,college,354323.21%,1970-01-01 00:00:00.000035695,1970-01-01 00:00:00.000000090,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000432,california,f
fr55658,california,m,master,349002.83%,1970-01-01 00:00:00.000090985,1970-01-01 00:00:00.000000087,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000078,california,f
xs12556,california,f,college,368309.99%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000101,1/0/00,corporate auto,sports car,1970-01-01 00:00:00.000000564,california,f
zu73588,california,m,college,598977.39%,1970-01-01 00:00:00.000066839,1970-01-01 00:00:00.000000154,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000739,california,f
wt43034,california,f,high school or below,1250084.30%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000165,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000792,california,f
vm13430,oregon,f,bachelor,860915.82%,1970-01-01 00:00:00.000079090,1970-01-01 00:00:00.000000107,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000289,california,f
tc78849,oregon,m,bachelor,249745.51%,1970-01-01 00:00:00.000024825,1970-01-01 00:00:00.000000064,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000155,california,f
vc34764,california,m,college,701917.72%,1970-01-01 00:00:00.000026806,1970-01-01 00:00:00.000000063,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000302,california,f
wo90953,oregon,f,college,538792.63%,1970-01-01 00:00:00.000056835,1970-01-01 00:00:00.000000067,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000326,california,f
iu47468,oregon,f,bachelor,616555.75%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000088,1/0/00,special auto,two-door car,1970-01-01 00:00:00.000000653,california,f
ko46064,california,m,bachelor,273020.29%,1970-01-01 00:00:00.000046135,1970-01-01 00:00:00.000000069,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000103,california,f
rb34917,arizona,f,bachelor,516211.69%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000809,california,f
bi38192,oregon,f,high school or below,793706.48%,1970-01-01 00:00:00.000022862,1970-01-01 00:00:00.000000067,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000321,california,f
pu18983,oregon,f,high school or below,860815.72%,1970-01-01 00:00:00.000021450,1970-01-01 00:00:00.000000110,1/2/00,personal auto,sports car,1970-01-01 00:00:00.000000528,california,f
sw79912,oregon,m,bachelor,263254.58%,1970-01-01 00:00:00.000095854,1970-01-01 00:00:00.000000065,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000312,california,f
es39217,oregon,f,bachelor,778500.42%,1970-01-01 00:00:00.000044897,1970-01-01 00:00:00.000000099,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000580,california,f
kp72427,washington,m,high school or below,2163983.86%,1970-01-01 00:00:00.000064455,1970-01-01 00:00:00.000000108,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000133,california,f
ua19178,oregon,f,master,498082.50%,1970-01-01 00:00:00.000053265,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000238,california,f
pr53785,arizona,f,high school or below,745723.78%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000170,1/1/00,personal auto,luxury car,1970-01-01 00:00:00.000000966,california,f
xf57481,washington,m,master,1064093.93%,1970-01-01 00:00:00.000050450,1970-01-01 00:00:00.000000090,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000135,california,f
cn90378,california,f,high school or below,686250.83%,1970-01-01 00:00:00.000054780,1970-01-01 00:00:00.000000088,1/3/00,personal auto,four-door car,1970-01-01 00:00:00.000000135,california,f
ki56154,nevada,m,high school or below,904898.34%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000119,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000571,california,f
ui55951,california,m,bachelor,554803.19%,1970-01-01 00:00:00.000067798,1970-01-01 00:00:00.000000069,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000331,california,f
ff28650,oregon,m,bachelor,831268.16%,1970-01-01 00:00:00.000021442,1970-01-01 00:00:00.000000118,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000566,california,f
fs55302,california,m,bachelor,238998.10%,1970-01-01 00:00:00.000027615,1970-01-01 00:00:00.000000062,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000297,california,f
tn79487,california,m,bachelor,445811.34%,1970-01-01 00:00:00.000017622,1970-01-01 00:00:00.000000065,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000312,california,f
hg32616,nevada,m,high school or below,529574.17%,1970-01-01 00:00:00.000050200,1970-01-01 00:00:00.000000135,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000637,california,f
uk41984,arizona,f,doctor,383960.61%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000112,1/2/00,personal auto,suv,1970-01-01 00:00:00.000000537,california,f
lz52266,california,f,high school or below,373150.46%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000096,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000460,california,f
pm27367,california,f,master,277890.37%,1970-01-01 00:00:00.000073570,1970-01-01 00:00:00.000000070,1/1/00,special auto,two-door car,1970-01-01 00:00:00.000000075,california,f
zk21724,oregon,f,high school or below,401654.20%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000111,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000799,california,f
bh35482,washington,m,doctor,493094.93%,1970-01-01 00:00:00.000070412,1970-01-01 00:00:00.000000061,1/0/00,corporate auto,two-door car,1970-01-01 00:00:00.000000136,california,f
qe22757,nevada,m,doctor,249131.70%,1970-01-01 00:00:00.000036631,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000067,california,f
on77649,oregon,f,college,290887.59%,1970-01-01 00:00:00.000035895,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000312,california,f
rn82884,arizona,f,college,428294.80%,1970-01-01 00:00:00.000040864,1970-01-01 00:00:00.000000109,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000166,california,f
cq75652,oregon,m,college,834162.37%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000118,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000566,california,f
ff58467,arizona,f,master,509078.13%,1970-01-01 00:00:00.000093018,1970-01-01 00:00:00.000000063,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000135,california,f
bs83666,oregon,m,bachelor,736618.83%,1970-01-01 00:00:00.000070014,1970-01-01 00:00:00.000000062,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000017,california,f
wo29605,oregon,f,college,243687.51%,1970-01-01 00:00:00.000048875,1970-01-01 00:00:00.000000061,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000001,california,f
tl77607,california,m,bachelor,885268.87%,1970-01-01 00:00:00.000067969,1970-01-01 00:00:00.000000074,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000197,california,f
ez50606,oregon,f,high school or below,2387547.68%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000108,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000612,california,f
os39723,oregon,f,doctor,560049.65%,1970-01-01 00:00:00.000068665,1970-01-01 00:00:00.000000069,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000331,california,f
fn69743,california,m,college,463654.65%,1970-01-01 00:00:00.000026802,1970-01-01 00:00:00.000000066,1/1/00,corporate auto,two-door car,1970-01-01 00:00:00.000000316,california,f
xw96958,nevada,m,high school or below,757334.51%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000110,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000966,california,f
tu92578,california,m,college,1469663.55%,1970-01-01 00:00:00.000045345,1970-01-01 00:00:00.000000125,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000600,california,f
tl43709,washington,m,bachelors,897214.03%,1970-01-01 00:00:00.000089689,1970-01-01 00:00:00.000000074,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000136,california,f
ye68736,california,f,bachelor,772484.01%,1970-01-01 00:00:00.000032051,1970-01-01 00:00:00.000000170,1/1/00,personal auto,suv,1970-01-01 00:00:00.000000926,california,f
ob96537,oregon,m,master,594667.07%,1970-01-01 00:00:00.000081139,1970-01-01 00:00:00.000000074,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000392,california,f
eu68825,oregon,f,master,800054.51%,1970-01-01 00:00:00.000063834,1970-01-01 00:00:00.000000100,1/1/00,personal auto,sports car,1970-01-01 00:00:00.000000215,california,f
cc31456,arizona,m,bachelor,645756.10%,1970-01-01 00:00:00.000037548,1970-01-01 00:00:00.000000081,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000160,california,f
dj77787,arizona,f,high school or below,728144.01%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000069,1/3/00,personal auto,four-door car,1970-01-01 00:00:00.000000371,california,f
ln26837,california,m,high school or below,259243.78%,1970-01-01 00:00:00.000072421,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000312,california,f
yi92916,nevada,m,master,467842.34%,1970-01-01 00:00:00.000083102,1970-01-01 00:00:00.000000116,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000443,california,f
nw54906,oregon,m,college,1386992.71%,1970-01-01 00:00:00.000028432,1970-01-01 00:00:00.000000118,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000612,california,f
me77513,nevada,f,master,871777.78%,1970-01-01 00:00:00.000083707,1970-01-01 00:00:00.000000108,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000290,california,f
uk76891,california,f,college,523398.68%,1970-01-01 00:00:00.000063259,1970-01-01 00:00:00.000000065,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000316,california,f
si26888,nevada,f,high school or below,476418.97%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000405,california,f
yd74948,oregon,f,college,247246.92%,1970-01-01 00:00:00.000063860,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000208,california,f
hb64268,washington,m,bachelor,281369.26%,1970-01-01 00:00:00.000043836,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000138,california,f
bw52697,california,f,college,550505.70%,1970-01-01 00:00:00.000086132,1970-01-01 00:00:00.000000068,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000301,california,f
nl41409,oregon,f,bachelor,260620.85%,1970-01-01 00:00:00.000028519,1970-01-01 00:00:00.000000066,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000456,california,f
od69005,arizona,f,high school or below,1048194.38%,1970-01-01 00:00:00.000039102,1970-01-01 00:00:00.000000088,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000152,california,f
zz91716,california,f,bachelor,325676.64%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000089,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000491,california,f
uk70255,california,f,college,3047578.05%,1970-01-01 00:00:00.000097298,1970-01-01 00:00:00.000000128,1/0/00,personal auto,sports car,1970-01-01 00:00:00.000000048,california,f
qt25383,nevada,m,high school or below,636490.22%,1970-01-01 00:00:00.000041986,1970-01-01 00:00:00.000000084,1/2/00,personal auto,two-door car,1970-01-01 00:00:00.000000430,california,f
aw18068,arizona,m,high school or below,946850.93%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000088,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000633,california,f
ns45347,oregon,f,college,563145.19%,1970-01-01 00:00:00.000017291,1970-01-01 00:00:00.000000073,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000350,california,f
fv19421,california,m,bachelor,778099.93%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000074,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000246,california,f
xw89091,california,m,college,981652.83%,1970-01-01 00:00:00.000037256,1970-01-01 00:00:00.000000062,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000128,california,f
yc11951,oregon,m,high school or below,751913.36%,1970-01-01 00:00:00.000096306,1970-01-01 00:00:00.000000095,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000185,california,f
uy18770,california,f,bachelor,1017971.70%,1970-01-01 00:00:00.000014290,1970-01-01 00:00:00.000000170,1/0/00,personal auto,luxury suv,1970-01-01 00:00:00.000000966,california,f
ra49085,california,f,college,277283.92%,1970-01-01 00:00:00.000037038,1970-01-01 00:00:00.000000071,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000009,california,f
bg84194,oregon,m,college,403750.18%,1970-01-01 00:00:00.000090760,1970-01-01 00:00:00.000000103,1/2/00,special auto,suv,1970-01-01 00:00:00.000000133,california,f
pt64580,washington,m,master,419196.61%,1970-01-01 00:00:00.000077048,1970-01-01 00:00:00.000000103,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000141,california,f
mr67738,oregon,f,high school or below,267686.79%,1970-01-01 00:00:00.000054480,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000321,california,f
dm95829,california,m,college,252395.96%,1970-01-01 00:00:00.000016244,1970-01-01 00:00:00.000000068,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000623,california,f
db75522,california,f,college,698840.16%,1970-01-01 00:00:00.000022436,1970-01-01 00:00:00.000000089,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000427,california,f
lm34525,washington,f,college,874205.78%,1970-01-01 00:00:00.000071592,1970-01-01 00:00:00.000000072,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000141,california,f
ww30771,arizona,m,master,267331.96%,1970-01-01 00:00:00.000028728,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000321,california,f
qp65569,arizona,m,high school or below,1215732.99%,1970-01-01 00:00:00.000057449,1970-01-01 00:00:00.000000103,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000494,california,f
tn50051,california,f,doctor,295776.40%,1970-01-01 00:00:00.000083318,1970-01-01 00:00:00.000000073,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000211,california,f
uo86707,washington,m,bachelors,717390.94%,1970-01-01 00:00:00.000075217,1970-01-01 00:00:00.000000061,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000147,california,f
ja41698,nevada,m,bachelor,309953.80%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000102,1/5/00,corporate auto,suv,1970-01-01 00:00:00.000000862,california,f
nx18774,oregon,m,bachelor,841568.46%,1970-01-01 00:00:00.000055308,1970-01-01 00:00:00.000000107,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000513,california,f
da69469,oregon,f,college,2684312.45%,1970-01-01 00:00:00.000036068,1970-01-01 00:00:00.000000097,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000113,california,f
cn23147,oregon,m,bachelor,1305717.07%,1970-01-01 00:00:00.000048804,1970-01-01 00:00:00.000000112,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000537,california,f
ra68844,oregon,m,college,959995.02%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000131,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000943,california,f
gh42026,oregon,m,bachelor,853510.89%,1970-01-01 00:00:00.000055790,1970-01-01 00:00:00.000000111,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000117,california,f
bd16530,arizona,f,bachelor,829348.19%,1970-01-01 00:00:00.000070258,1970-01-01 00:00:00.000000069,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000225,california,f
jh91579,oregon,f,bachelor,684615.03%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000095,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000456,california,f
wk23685,oregon,f,bachelor,663685.98%,1970-01-01 00:00:00.000047274,1970-01-01 00:00:00.000000083,1/1/00,corporate auto,four-door car,1970-01-01 00:00:00.000000182,california,f
gr62267,washington,f,college,560908.25%,1970-01-01 00:00:00.000044705,1970-01-01 00:00:00.000000071,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000148,california,f
pi78084,arizona,m,high school or below,507732.09%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000525,california,f
gf97874,washington,f,master,527562.70%,1970-01-01 00:00:00.000070446,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000155,california,f
zh19885,washington,f,high school or below,251459.20%,1970-01-01 00:00:00.000043860,1970-01-01 00:00:00.000000065,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000156,california,f
uk25655,oregon,f,bachelor,343525.01%,1970-01-01 00:00:00.000064348,1970-01-01 00:00:00.000000086,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000212,california,f
qr45101,oregon,m,bachelor,662461.18%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000062,1/0/00,corporate auto,two-door car,1970-01-01 00:00:00.000000297,california,f
el93539,california,m,master,575744.23%,1970-01-01 00:00:00.000088997,1970-01-01 00:00:00.000000072,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000174,california,f
ee99484,washington,f,high school or below,251459.20%,1970-01-01 00:00:00.000043860,1970-01-01 00:00:00.000000065,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000156,california,f
dp46882,california,f,high school or below,288645.16%,1970-01-01 00:00:00.000010312,1970-01-01 00:00:00.000000078,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000486,california,f
wp41146,california,f,high school or below,534143.88%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000345,california,f
tk60799,arizona,f,high school or below,416001.81%,1970-01-01 00:00:00.000096263,1970-01-01 00:00:00.000000103,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000001,california,f
dn29808,california,f,college,284624.54%,1970-01-01 00:00:00.000028919,1970-01-01 00:00:00.000000072,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000518,california,f
ss59521,oregon,f,college,477025.66%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000068,1/1/00,personal auto,two-door car,1970-01-01 00:00:00.000000326,california,f
ng66579,oregon,m,bachelor,505961.62%,1970-01-01 00:00:00.000041869,1970-01-01 00:00:00.000000064,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000262,california,f
tc14209,arizona,f,high school or below,909574.46%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000128,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000921,california,f
ed50963,california,f,high school or below,268886.40%,1970-01-01 00:00:00.000032808,1970-01-01 00:00:00.000000068,1/1/00,personal auto,four-door car,1970-01-01 00:00:00.000000541,california,f
